pollution_id,city,timestamp,pm25,pm10,no2,so2,co,o3,aqi_value,data_source,temperature,humidity,wind_speed,atmospheric_pressure,precipitation,cloudiness,created_at,date,time,hour,day_of_week
3,Mumbai,2025-11-04 20:06:02.951675,,,,,,,79,IQAir,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:02.958618,2025-11-04,20:06:02.951675,20,Tuesday
103,Mysore,2025-11-06 07:31:27.945737,19.91,29.61,7.03,3.86,361.38,35.9,2,OpenWeather,19.13,81.0,1.21,,,18.0,2025-11-06 07:31:27.947493,2025-11-06,07:31:27.945737,7,Thursday
51,Mysore,2025-11-04 20:06:13.850171,15.43,23.83,17.08,5.78,436.75,44.07,2,OpenWeather,24.0,73.0,2.57,,,40.0,2025-11-04 20:06:13.850974,2025-11-04,20:06:13.850171,20,Tuesday
104,Nagpur,2025-11-06 07:31:28.076816,29.26,39.31,4.79,2.43,298.06,27.79,3,OpenWeather,22.01,68.0,3.09,,,20.0,2025-11-06 07:31:28.081671,2025-11-06,07:31:28.076816,7,Thursday
24,Nagpur,2025-11-04 20:06:07.951338,22.13,28.17,8.86,2.98,361.38,40.25,2,OpenWeather,25.01,83.0,0.0,,,40.0,2025-11-04 20:06:07.952870,2025-11-04,20:06:07.951338,20,Tuesday
105,Nashik,2025-11-06 07:31:28.727742,91.94,138.74,17.33,12.15,669.04,27.56,5,OpenWeather,19.78,80.0,0.88,,,81.0,2025-11-06 07:31:28.739387,2025-11-06,07:31:28.727742,7,Thursday
35,Nashik,2025-11-04 20:06:10.337133,40.5,59.22,16.32,10.5,425.99,60.83,3,OpenWeather,20.44,95.0,2.04,,,53.0,2025-11-04 20:06:10.337610,2025-11-04,20:06:10.337133,20,Tuesday
107,Navi Mumbai,2025-11-06 07:31:29.444457,44.01,87.19,1.47,6.37,169.28,91.72,3,OpenWeather,24.97,78.0,3.09,,,20.0,2025-11-06 07:31:29.447923,2025-11-06,07:31:29.444457,7,Thursday
106,Noida,2025-11-06 07:31:29.029340,54.28,77.05,6.3,5.78,444.6,86.06,4,OpenWeather,13.16,19.0,2.14,,,0.0,2025-11-06 07:31:29.034334,2025-11-06,07:31:29.029340,7,Thursday
55,Noida,2025-11-04 20:06:14.881261,51.38,66.17,16.3,3.33,463.17,73.52,4,OpenWeather,26.16,37.0,3.77,,,0.0,2025-11-04 20:06:14.896260,2025-11-04,20:06:14.881261,20,Tuesday
